iter	Passed	Remaining
0	18	370217
1	34	343183
2	38	253569
3	55	277310
4	72	290486
5	89	296673
6	104	298519
7	120	300565
8	136	302827
9	152	305634
10	169	307120
11	185	308828
12	201	310514
13	218	311794
14	237	316727
15	261	326513
16	278	326893
17	293	326093
18	309	324987
19	324	324282
20	340	323610
21	355	322868
22	363	316008
23	379	316263
24	397	317429
25	413	317464
26	429	317494
27	445	317460
28	460	316935
29	478	318527
30	494	318418
31	509	318044
32	526	318606
33	535	314275
34	551	314509
35	566	314226
36	582	314522
37	599	314742
38	615	314847
39	618	308765
40	634	308940
41	650	309040
42	666	309334
43	682	309450
44	697	309485
45	714	309778
46	730	309941
47	745	310065
48	762	310447
49	778	310441
50	794	310663
51	809	310678
52	826	311154
53	843	311647
54	859	311825
55	875	311654
56	892	312208
57	908	312413
58	924	312349
59	939	312215
60	955	312215
61	971	312382
62	987	312581
63	1004	312820
64	1022	313450
65	1039	313957
66	1055	314148
67	1072	314483
68	1089	314602
69	1104	314593
70	1121	314757
71	1137	314921
72	1154	315055
73	1170	315293
74	1187	315431
75	1208	316813
76	1224	316751
77	1240	316713
78	1256	316722
79	1271	316676
80	1287	316516
81	1303	316524
82	1318	316484
83	1336	316915
84	1352	316868
85	1368	316878
86	1384	316838
87	1401	317193
88	1420	317732
89	1436	317708
90	1451	317504
91	1467	317559
92	1484	317678
93	1500	317824
94	1516	317802
95	1532	317756
96	1547	317602
97	1563	317603
98	1580	317637
99	1596	317664
100	1612	317635
101	1629	317859
102	1645	317889
103	1661	317813
104	1677	317783
105	1693	317806
106	1708	317730
107	1726	317942
108	1741	317779
109	1756	317682
110	1773	317784
111	1789	317711
112	1805	317814
113	1821	317769
114	1838	317872
115	1854	317825
116	1870	317820
117	1890	318506
118	1910	319115
119	1926	319163
120	1942	319095
121	1958	319123
122	1974	319121
123	1990	319088
124	2006	319054
125	2023	319123
126	2039	319106
127	2055	319043
128	2071	319145
129	2088	319163
130	2104	319124
131	2120	319169
132	2136	319207
133	2153	319309
134	2169	319272
135	2186	319314
136	2202	319273
137	2218	319246
138	2233	319201
139	2249	319174
140	2266	319179
141	2281	319082
142	2296	318935
143	2313	319010
144	2328	318883
145	2344	318858
146	2361	318957
147	2378	319051
148	2394	319006
149	2410	319036
150	2426	318929
151	2442	318893
152	2458	318906
153	2474	318892
154	2490	318863
155	2506	318785
156	2521	318728
157	2537	318668
158	2553	318632
159	2569	318592
160	2584	318517
161	2600	318429
162	2615	318362
163	2631	318290
164	2647	318264
165	2663	318257
166	2679	318214
167	2696	318266
168	2712	318249
169	2727	318158
170	2743	318098
171	2759	318087
172	2775	318063
173	2790	317987
174	2806	317992
175	2823	318029
176	2838	317948
177	2854	317889
178	2869	317797
179	2885	317726
180	2901	317750
181	2917	317684
182	2932	317598
183	2949	317599
184	2965	317589
185	2981	317577
186	2996	317528
187	3012	317425
188	3027	317392
189	3043	317369
190	3059	317319
191	3075	317287
192	3092	317360
193	3109	317476
194	3125	317417
195	3142	317479
196	3158	317463
197	3173	317357
198	3189	317324
199	3204	317268
200	3220	317211
201	3236	317203
202	3251	317121
203	3267	317110
204	3284	317134
205	3300	317166
